token_id,token_str,count,avg_expert_size,avg_expert_size_excluding_null,null_fraction
58610,otrophs,30,51.91,256.0,0.797222
24878,awatts,24,61.44,256.0,0.759983
50337,ochromatic,8,62.67,256.0,0.755208
54206,abian,69,62.96,256.0,0.754076
64856, gluconate,5,65.07,256.0,0.745833
61640,す,58,65.52,256.0,0.744073
28202,otomy,117,65.62,256.0,0.743679
46489,wd,56,66.67,256.0,0.739583
60933,hoot,18,66.81,256.0,0.739005
57912, faulkner,14,66.86,256.0,0.738839
54900, NADH,24,67.22,256.0,0.737413
42757,therapy,107,67.56,256.0,0.736079
55152, microgreens,10,69.6,256.0,0.728125
32833,ipheral,12,70.0,256.0,0.726562
53163,uterol,38,70.04,256.0,0.726425
65264,ERING,25,70.08,256.0,0.72625
14544,elsius,31,70.28,256.0,0.72547
49824,aaS,45,70.58,256.0,0.724306
26438,ranchise,22,71.15,256.0,0.722064
13769,ocide,36,71.26,256.0,0.721644
8209,achusetts,16,71.33,256.0,0.721354
12791,imedia,30,71.56,256.0,0.720486
39789, juliet,153,71.95,256.0,0.718954
37592,ioxide,30,72.0,256.0,0.71875
59370,ן,20,72.0,256.0,0.71875
16860,ottom,19,72.28,256.0,0.717654
55650,habilitation,20,72.4,256.0,0.717187
61658,αι,79,72.98,256.0,0.714926
51192,lectomy,59,73.04,256.0,0.714689
30544,ophen,32,73.42,256.0,0.713216
11372,ternoon,65,73.76,256.0,0.711859
28713,ctomy,102,73.78,256.0,0.711806
64129,ifruit,7,73.9,256.0,0.71131
56817,orestation,35,74.06,256.0,0.710714
40232,amphetamine,9,74.67,256.0,0.708333
43120,vaccinated,11,74.67,256.0,0.708333
64599,nips,23,74.67,256.0,0.708333
46471,.exe,25,74.77,256.0,0.707917
61402,othenic,39,75.15,256.0,0.706464
40911, lotion,87,75.22,256.0,0.706178
60739,cycline,44,75.52,256.0,0.705019
55833, dimmer,52,75.54,256.0,0.704928
8049,otherapy,279,75.65,256.0,0.704488
61928,excel,27,75.65,256.0,0.704475
54245,ysuckle,7,75.81,256.0,0.703869
62296,duff,25,75.84,256.0,0.70375
55194,-review,44,75.88,256.0,0.703598
61258,razole,33,75.88,256.0,0.703598
8171,zym,46,75.88,256.0,0.703578
38656,ORK,54,75.9,256.0,0.703511
2013,leep,106,76.03,256.0,0.703027
54708, lysine,47,76.26,256.0,0.702128
35949,jans,20,76.4,256.0,0.701562
44875,ramine,33,76.44,256.0,0.701389
60900,-Learning,65,76.55,256.0,0.700962
40973, carotene,56,76.57,256.0,0.700893
19091,scribe,69,76.64,256.0,0.700634
43965,omavirus,15,76.8,256.0,0.7
60543,inase,92,76.93,256.0,0.699502
61967, Deputies,33,76.93,256.0,0.699495
20878,communications,11,77.09,256.0,0.698864
63212, saver,23,77.1,256.0,0.698822
46342,ethrin,28,77.24,256.0,0.698289
42132,aponics,30,77.24,256.0,0.698264
53476,℃,30,77.33,256.0,0.697917
55923,odialysis,41,77.66,256.0,0.696646
10152,ergarten,46,77.68,256.0,0.696558
16646,ewable,88,78.09,256.0,0.694957
35128, percentile,116,78.25,256.0,0.694325
54089,simile,20,78.4,256.0,0.69375
64370,-byte,32,78.5,256.0,0.693359
6093, dioxide,1778,78.75,256.0,0.69238
57770,-PCR,130,78.81,256.0,0.692147
22590,isexual,49,78.86,256.0,0.691964
32547,rodite,14,78.86,256.0,0.691964
61094, Lehi,26,78.87,256.0,0.691907
62110,ει,66,78.91,256.0,0.691761
58020,perms,45,78.93,256.0,0.691667
58775,ernacles,23,78.96,256.0,0.691576
36365,aimon,16,79.17,256.0,0.690755
52745,herapy,25,79.25,256.0,0.690417
17811,ovak,22,79.27,256.0,0.690341
46453,-Hungary,45,79.29,256.0,0.690278
47431,lau,74,79.35,256.0,0.690034
25087,fowl,36,79.41,256.0,0.689815
37229,imia,42,79.43,256.0,0.689732
48513,-gatherer,48,79.44,256.0,0.68967
58615,zheimers,37,79.5,256.0,0.689471
64199,ictus,35,79.54,256.0,0.689286
33740,ethane,100,79.6,256.0,0.689063
47519,ophosphate,77,79.62,256.0,0.688988
32584,awatt,69,79.73,256.0,0.688557
57225, aegypti,66,79.76,256.0,0.688447
51961,ocarcinoma,14,79.81,256.0,0.688244
60903,/acre,15,79.82,256.0,0.688194
9051,cyclopedia,8,80.0,256.0,0.6875
46133,uders,6,80.0,256.0,0.6875
48382,ohim,10,80.0,256.0,0.6875
57722,-duration,37,80.0,256.0,0.6875
59270,assemia,36,80.0,256.0,0.6875
55606, sundown,55,80.1,256.0,0.687121
31875,obyl,5,80.53,256.0,0.685417
43692,HOOL,9,80.59,256.0,0.685185
31665,-help,122,80.66,256.0,0.684939
61846,terly,44,80.73,256.0,0.684659
20154,rimination,54,80.74,256.0,0.684606
49733, purifier,52,80.87,256.0,0.684095
22991,ectomy,220,80.92,256.0,0.683902
50578, tamoxifen,46,80.99,256.0,0.68365
30253, GHz,104,81.0,256.0,0.683594
55993,uristics,16,81.0,256.0,0.683594
26567,otene,18,81.04,256.0,0.683449
35078,ymphedema,10,81.07,256.0,0.683333
46719,henol,5,81.07,256.0,0.683333
59947,anticide,5,81.07,256.0,0.683333
13488,orest,35,81.14,256.0,0.683036
50463,undum,44,81.27,256.0,0.682528
56312, yellows,39,81.3,256.0,0.682425
29793,ы,210,81.55,256.0,0.681448
57149,ть,37,81.66,256.0,0.681025
61777,GHz,32,81.67,256.0,0.68099
30910,ternity,114,81.78,256.0,0.680556
37428,iitis,21,81.78,256.0,0.680556
55100,ocarbons,51,81.78,256.0,0.680556
6902,eenth,54,81.83,256.0,0.680363
48370, Kippur,88,81.85,256.0,0.680279
61309,pbuh,30,81.87,256.0,0.680208
58299,WER,50,81.92,256.0,0.68
57847, hematite,15,81.96,256.0,0.679861
58001, chard,78,81.98,256.0,0.679754
54018, nervosa,104,82.1,256.0,0.679287
57294, atrazine,11,82.18,256.0,0.678977
65226,ohan,32,82.33,256.0,0.678385
33073, Cavalry,195,82.39,256.0,0.678152
43228,IGO,17,82.51,256.0,0.677696
33401,inist,164,82.6,256.0,0.677337
44123, asexual,75,82.63,256.0,0.677222
52835,ERAL,66,82.67,256.0,0.677083
48376, kefir,38,82.81,256.0,0.676535
64949,ン,18,82.81,256.0,0.676505
20232,alid,109,82.86,256.0,0.676319
65102,inib,20,82.93,256.0,0.676042
53252,ivariate,83,82.96,256.0,0.675954
50919,aculate,46,82.96,256.0,0.675951
4440,ophy,159,83.0,256.0,0.675773
50018,āt,66,83.11,256.0,0.675347
52328,racycline,28,83.14,256.0,0.675223
60231,ardii,54,83.16,256.0,0.675154
28963,rosive,31,83.18,256.0,0.675067
54569,ARDS,51,83.24,256.0,0.674837
47001, micronutrient,73,83.29,256.0,0.674658
20568,aniel,25,83.31,256.0,0.674583
28443,etes,117,83.33,256.0,0.674501
36106, propane,164,83.43,256.0,0.674098
63455, falciparum,64,83.46,256.0,0.673991
34816,OLOGY,102,83.48,256.0,0.673917
43976,osic,23,83.48,256.0,0.673913
42985,ozygous,39,83.56,256.0,0.673611
48241,/hr,57,83.56,256.0,0.673611
46215, TODAY,53,83.57,256.0,0.673546
32116,ihad,49,83.65,256.0,0.673257
31428,iflower,19,83.65,256.0,0.673246
53452, macbeth,13,83.69,256.0,0.673077
37767,plings,129,83.78,256.0,0.672723
8276,assium,33,83.8,256.0,0.672664
25482,ayana,164,83.92,256.0,0.672193
19419,flies,197,83.93,256.0,0.672166
45650, Azure,42,83.94,256.0,0.672123
31235,romagnetic,90,83.94,256.0,0.672106
