token_id,token_str,count,avg_expert_size,avg_expert_size_excluding_null,null_fraction
43944,rossover,9,63.41,260.88,0.756944
7071,zheimer,10,68.27,280.07,0.75625
14544,elsius,31,65.85,268.82,0.75504
63274,escens,25,58.72,238.46,0.75375
65527,<|bos|>,53411,65.1,260.53,0.750143
49996,ranath,10,57.87,231.47,0.75
55759,relia,6,63.78,253.35,0.748264
34135,₂,32,66.08,261.61,0.747396
41283,ì,150,68.12,266.76,0.744653
46038,/mL,62,67.81,262.92,0.742103
32418,roviral,55,75.22,284.31,0.735417
32275,aguar,7,65.9,248.81,0.735119
50932,allax,14,71.24,268.94,0.735119
34249,omial,72,70.67,265.75,0.734086
51684,olam,30,65.69,246.98,0.734028
33740,ethane,100,69.23,258.59,0.732292
61071, methionine,45,68.44,253.58,0.730093
51522,ALSE,24,73.67,272.87,0.730035
52328,racycline,28,66.67,246.83,0.729911
54245,ysuckle,7,68.95,254.59,0.729167
46471,.exe,25,82.29,298.8,0.724583
48320,́,121,67.97,244.73,0.72228
6318,reland,9,66.37,238.93,0.722222
54490, FX,42,76.03,273.47,0.721974
50136,�,63,72.97,261.46,0.720899
58984,ruvate,19,77.61,277.58,0.720395
21667,/kg,252,77.55,276.83,0.719866
43689,ochastic,11,73.94,263.78,0.719697
35446, _____,139,73.22,260.33,0.71875
41691,ameter,79,70.6,250.55,0.718223
44085,rietta,10,69.6,245.65,0.716667
48925,mittent,25,84.27,297.41,0.716667
49414,⟩,77,70.77,249.71,0.716585
54748,ahertz,19,72.35,255.26,0.716557
55165, Doe,19,72.77,255.75,0.715461
65117,ouan,30,75.91,265.32,0.713889
34944,idsummer,8,76.33,266.47,0.713542
51642,/yr,59,74.33,258.12,0.712041
63500, boolean,16,79.5,275.03,0.710938
50463,undum,44,76.73,265.22,0.710701
11238,aturday,5,82.4,284.55,0.710417
60400, albicans,21,80.38,277.48,0.710317
60647, opals,22,76.0,262.27,0.710227
29632,inae,151,78.19,266.63,0.706747
10460,isconsin,11,80.24,273.34,0.706439
59787, Cursive,10,70.93,241.48,0.70625
59081,akob,74,81.87,278.29,0.7058
25088,inoid,64,83.44,283.38,0.705566
53119, Frida,21,80.25,271.46,0.704365
61266,-assembly,30,76.18,257.5,0.704167
50920,ighorn,69,81.8,276.3,0.703955
52501,riya,56,71.71,241.56,0.703125
40561,/year,83,80.59,269.71,0.70118
46620,clockwise,8,70.33,234.85,0.700521
50885,ù,84,76.1,253.99,0.700397
13505,ovenant,99,81.23,270.96,0.700231
40351,uropathic,53,83.9,279.19,0.699489
46395,inette,7,75.05,249.66,0.699405
64616,ishe,16,77.92,258.49,0.698568
60605,icha,23,81.16,269.07,0.69837
211,�,25,72.11,239.03,0.698333
